FPS,AVG_FPS,Flachhänger,left_x,top_y,width,height
15.9,15.9,100%,421,438,456,257
16.0,15.9,100%,422,438,458,256
16.0,15.9,100%,422,439,459,254
16.0,15.9,100%,422,438,459,256
16.0,15.9,100%,423,438,455,258
16.0,15.9,100%,423,439,458,253
16.0,15.9,100%,422,437,458,257
15.9,15.9,100%,423,437,457,259
16.0,15.9,100%,423,438,456,257
16.0,15.9,100%,422,438,458,255
16.0,15.9,100%,423,438,457,257
16.0,15.9,100%,422,439,457,256
15.9,15.9,100%,421,437,458,258
15.9,15.9,100%,422,438,458,255
15.9,15.9,100%,423,437,455,258
15.9,15.9,100%,422,438,458,256
15.9,15.9,100%,422,438,456,257
15.9,15.9,100%,423,438,456,256
15.9,15.9,100%,425,438,454,255
15.9,15.9,100%,422,437,458,256
15.9,15.9,100%,422,439,457,254
15.9,15.9,100%,426,438,454,256
16.0,15.9,100%,424,438,455,258
16.0,15.9,100%,422,438,457,258
16.0,15.9,100%,423,438,456,256
15.9,15.9,100%,423,438,456,257
15.7,15.9,100%,422,438,457,257
15.7,15.9,100%,421,437,456,258
15.7,15.9,100%,423,438,455,258
15.8,15.9,100%,423,437,454,260
15.8,15.9,100%,421,437,457,257
15.8,15.9,100%,422,438,456,254
15.8,15.9,100%,424,438,454,258
15.8,15.9,100%,423,438,456,256
15.8,15.9,100%,421,438,459,259
15.8,15.9,100%,422,439,458,257
15.8,15.9,100%,423,439,456,256
15.8,15.9,100%,421,437,459,259
15.8,15.9,100%,423,439,456,256
15.8,15.9,100%,423,438,455,257
15.9,15.9,100%,423,439,457,254
15.9,15.9,100%,423,439,456,256
15.9,15.9,100%,424,438,453,257
15.9,15.9,100%,423,439,455,255
15.9,15.9,100%,424,440,453,254
15.9,15.9,100%,423,439,455,255
15.8,15.9,100%,425,439,455,255
15.8,15.9,100%,425,439,455,254
15.9,15.9,100%,424,439,453,255
15.9,15.9,100%,424,438,454,258
15.9,15.9,100%,425,439,451,256
15.9,15.9,100%,423,439,455,253
15.9,15.9,100%,424,439,453,256
15.9,15.9,100%,422,438,456,259
15.9,15.9,100%,423,439,455,256
15.9,15.9,100%,423,440,457,254
15.9,15.9,100%,424,441,456,254
16.0,15.9,100%,423,440,456,255
16.0,15.9,100%,422,440,457,255
16.0,15.9,100%,423,439,456,256
15.9,15.9,100%,423,440,457,256
15.9,15.9,100%,423,440,458,254
15.9,15.9,100%,423,440,456,255
15.9,15.9,100%,421,440,458,254
15.9,15.9,100%,422,440,459,255
15.9,15.9,100%,423,441,456,252
15.9,15.9,100%,423,439,456,256
15.9,15.9,100%,424,439,455,255
15.9,15.9,100%,423,438,456,258
15.9,15.9,100%,423,439,458,257
15.9,15.9,100%,422,440,456,256
15.9,15.9,100%,425,440,456,256
15.9,15.9,100%,424,440,456,256
15.9,15.9,100%,422,440,456,255
15.9,15.9,100%,422,440,457,256
15.9,15.9,100%,422,440,458,256
15.9,15.9,100%,424,440,456,257
16.0,15.9,100%,424,441,456,254
16.0,15.9,100%,425,440,455,255
15.9,15.9,100%,425,441,454,254
15.9,15.9,100%,425,441,455,254
15.9,15.9,100%,423,440,458,256
15.9,15.9,100%,423,439,456,255
15.9,15.9,100%,424,439,456,256
15.9,15.9,100%,424,438,454,258
15.9,15.9,100%,424,439,456,255
15.9,15.9,100%,424,441,456,253
15.9,15.9,100%,425,440,454,255
15.9,15.9,100%,423,439,457,256
15.9,15.9,100%,423,439,456,256
15.9,15.9,100%,422,440,459,255
15.9,15.9,100%,423,440,456,257
15.9,15.9,100%,424,440,456,256
15.9,15.9,100%,424,439,456,257
15.8,15.9,100%,423,440,458,257
15.9,15.9,100%,423,439,457,257
15.9,15.9,100%,423,439,456,259
15.9,15.9,100%,422,439,456,257
15.9,15.9,100%,424,440,456,254
15.9,15.9,100%,423,439,457,257
15.9,15.9,100%,424,439,455,256
15.9,15.9,100%,422,440,457,256
15.9,15.9,100%,423,439,455,256
15.9,15.9,100%,424,439,453,256
